timestamp,supply
1367357360,11099000
1367632315,11110375
1367873372,11121650
1368107555,11133050
1368332293,11144300
1368575540,11155800
1368832658,11167025
1369103206,11178325
1369345158,11189625
1369581606,11200950
1369819618,11212325
1370039715,11223625
1370234698,11235125
1370423133,11246650
1370651527,11257975
1370882369,11269575
1371094084,11281000
1371315283,11292325
1371542122,11303600
1371820060,11314800
1372048566,11326125
1372284933,11337300
1372520023,11348575
1372770859,11359900
1372994417,11371300
1373209366,11382625
1373414952,11393925
1373632869,11405225
1373875480,11416525
1374104903,11427975
1374335783,11439550
1374554757,11450900
1374818024,11462350
1375050743,11473800
1375266522,11485150
1375472051,11496550
1375694755,11508100
1375905708,11519350
1376101160,11530725
1376284834,11542100
1376501753,11553775
1376732608,11565425
1376944538,11576925
1377152015,11588600
1377345792,11600000
1377591025,11611375
1377802951,11622625
1377992867,11634050
1378176523,11645475
1378396792,11656725
1378635226,11668350
1378848357,11679775
1379036301,11691125
1379229514,11702775
1379465227,11714175
1379683856,11725750
1379882162,11737125
1380074579,11748725
1380291344,11760400
1380530449,11771950
1380757721,11784075
1380963542,11795725
1381183407,11807125
1381408314,11818775
1381619586,11830775
1381792543,11842575
1381967049,11854375
1382185171,11866225
1382375248,11877750
1382554891,11889575
1382734535,11901300
1382947942,11912875
1383181661,11924525
1383372460,11936100
1383572010,11947650
1383807272,11959225
1384083598,11970650
1384296870,11982450
1384535851,11994200
1384753846,12006250
1385010311,12017825
1385252697,12029500
1385497362,12041425
1385727248,12053275
1385959480,12065175
1386193481,12077100
1386410873,12089050
1386627563,12100900
1386855505,12112625
1387084764,12124550
1387306287,12136825
1387498159,12148700
1387732298,12160350
1387979738,12172200
1388211516,12183875
1388456723,12195750
1388691597,12207675
1388943190,12219600
1389163801,12231500
1389377246,12243275
1389576141,12255200
1389818496,12266950
1390047128,12278600
1390278452,12290550
1390516060,12302825
1390763612,12315050
1391025703,12327225
1391254157,12339000
1391475194,12350900
1391724828,12363250
1391982154,12375250
1392237388,12387350
1392468849,12399575
1392715271,12411925
1392943237,12424300
1393201933,12436750
1393441997,12449250
1393694478,12461850
1393981746,12474000
1394243630,12486550
